School Year,Division Number,Division Name,School Number,School Name,Total Count
2020-2021,13,Brunswick County ,700,Red Oak-Sturgeon Elementary,              22
2020-2021,13,Brunswick County ,720,Totaro Elementary,              26
2020-2021,14,Buchanan County ,90,Council Elementary/Middle School,              32
2020-2021,14,Buchanan County ,1000,Council High ,              29
2020-2021,14,Buchanan County ,990,Grundy High,              66
2020-2021,14,Buchanan County ,120,Hurley Elementary/Middle,              67
2020-2021,14,Buchanan County ,1020,Hurley High,              36
2020-2021,14,Buchanan County ,1040,Riverview Elementary/Middle,             127
2020-2021,14,Buchanan County ,1041,Twin Valley Elementary/Middle,              46
2020-2021,14,Buchanan County ,1042,Twin Valley High,              29
2020-2021,15,Buckingham County ,724,Buckingham Co Elementary,              67
2020-2021,15,Buckingham County ,20,Buckingham Co Prekindergarten Center,              21
2020-2021,15,Buckingham County ,723,Buckingham Co Primary,              55
2020-2021,15,Buckingham County ,700,Buckingham County High,              86
2020-2021,15,Buckingham County ,721,Buckingham County Middle,              63
2020-2021,103,Buena Vista City ,1040,Clifton Middle,<
2020-2021,103,Buena Vista City ,40,Enderly Heights Elementary,              31
2020-2021,103,Buena Vista City ,70,F.W. Kling Jr. Elementary,              71
2020-2021,103,Buena Vista City ,62,Parry McCluer High School,              56
2020-2021,103,Buena Vista City ,61,Parry McCluer Middle School,              29
2020-2021,16,Campbell County ,560,Altavista Elementary,              64
2020-2021,16,Campbell County ,200,Altavista High,             100
2020-2021,16,Campbell County ,650,Brookneal Elementary,              46
2020-2021,16,Campbell County ,720,Brookville High,             109
2020-2021,16,Campbell County ,20,Brookville Middle,             101
2020-2021,16,Campbell County ,130,Concord Elementary,              49
2020-2021,16,Campbell County ,690,Leesville Road Elementary,              87
2020-2021,16,Campbell County ,821,Rustburg Elementary,              62
2020-2021,16,Campbell County ,222,Rustburg High,             110
2020-2021,16,Campbell County ,211,Rustburg Middle,              93
2020-2021,16,Campbell County ,60,Tomahawk Elementary,             107
2020-2021,16,Campbell County ,542,William Campbell High,              64
2020-2021,16,Campbell County ,710,Yellow Branch Elementary,             102
2020-2021,17,Caroline County ,620,Bowling Green Elementary,              98
2020-2021,17,Caroline County ,460,Caroline High,             151
2020-2021,17,Caroline County ,450,Caroline Middle,             111
2020-2021,17,Caroline County ,290,Henry Marsh III Elementary,<
2020-2021,17,Caroline County ,9020,Lewis and Clark Elementary,              97
2020-2021,17,Caroline County ,630,Madison Elementary,              58
2020-2021,18,Carroll County ,1230,Carroll County High,             167
2020-2021,18,Carroll County ,450,Carroll County Middle,             138
2020-2021,18,Carroll County ,1180,Fancy Gap Elementary,              16
2020-2021,18,Carroll County ,1150,Gladesboro Elementary,              16
2020-2021,18,Carroll County ,1210,Gladeville Elementary,              53
2020-2021,18,Carroll County ,1170,Hillsville Elementary,             106
2020-2021,18,Carroll County ,1160,Laurel Elementary,              31
2020-2021,18,Carroll County ,1130,Oakland Elementary,              38
2020-2021,18,Carroll County ,1110,St. Paul,              58
2020-2021,19,Charles City County ,80,Charles City County Elementary,              74
2020-2021,19,Charles City County ,100,Charles City County High,              38
2020-2021,20,Charlotte County ,470,Bacon District Elementary,              25
2020-2021,20,Charlotte County ,210,Central Middle,              50
2020-2021,20,Charlotte County ,100,Eureka Elementary,              36
2020-2021,20,Charlotte County ,450,Phenix Elementary,              24
2020-2021,20,Charlotte County ,460,Randolph-Henry High,              96
2020-2021,104,Charlottesville City ,100,Buford Middle,             112
2020-2021,104,Charlottesville City ,70,Burnley-Moran Elementary,              43
2020-2021,104,Charlottesville City ,140,Charlottesville High,             163
2020-2021,104,Charlottesville City ,50,Clark Elementary,              43
2020-2021,104,Charlottesville City ,90,Greenbrier Elementary,              25
2020-2021,104,Charlottesville City ,120,Jackson-Via Elementary,              72
2020-2021,104,Charlottesville City ,10,Johnson Elementary,              30
2020-2021,104,Charlottesville City ,40,Venable Elementary,              24
2020-2021,104,Charlottesville City ,110,Walker Upper Elementary,             100
2020-2021,136,Chesapeake City ,630,B.M. Williams Primary,             142
2020-2021,136,Chesapeake City ,860,Butts Road Intermediate,             137
2020-2021,136,Chesapeake City ,770,Butts Road Primary,             109
2020-2021,136,Chesapeake City ,90,Camelot Elementary,              54
2020-2021,136,Chesapeake City ,900,Cedar Road Elementary,             114
2020-2021,136,Chesapeake City ,700,Crestwood Intermediate,             134
2020-2021,136,Chesapeake City ,560,Crestwood Middle,             109
2020-2021,136,Chesapeake City ,660,Deep Creek Central Elementary,             125
2020-2021,136,Chesapeake City ,210,Deep Creek Elementary,             113
2020-2021,136,Chesapeake City ,100,Deep Creek High,             261
2020-2021,136,Chesapeake City ,610,Deep Creek Middle,             159
2020-2021,136,Chesapeake City ,640,Edwin W. Chittum Elementary,             149
2020-2021,136,Chesapeake City ,720,G.A. Treakle Elementary,              96
2020-2021,136,Chesapeake City ,50,George W. Carver Intermediate,             107
2020-2021,136,Chesapeake City ,820,Georgetown Primary,             100
2020-2021,136,Chesapeake City ,950,Grassfield Elementary,             176
2020-2021,136,Chesapeake City ,960,Grassfield High,             255
2020-2021,136,Chesapeake City ,120,Great Bridge High,             220
2020-2021,136,Chesapeake City ,850,Great Bridge Intermediate,              87
2020-2021,136,Chesapeake City ,590,Great Bridge Middle,             149
2020-2021,136,Chesapeake City ,680,Great Bridge Primary,              98
2020-2021,136,Chesapeake City ,870,Greenbrier Intermediate,             126
2020-2021,136,Chesapeake City ,972,Greenbrier Middle,             196
2020-2021,136,Chesapeake City ,140,Greenbrier Primary,             129
2020-2021,136,Chesapeake City ,340,Hickory Elementary,              98
2020-2021,136,Chesapeake City ,890,Hickory High,             255
2020-2021,136,Chesapeake City ,280,Hickory Middle,             224
2020-2021,136,Chesapeake City ,920,Hugo A. Owens Middle,             159
2020-2021,136,Chesapeake City ,830,Indian River High,             307
2020-2021,136,Chesapeake City ,710,Indian River Middle,             137
2020-2021,136,Chesapeake City ,973,Jolliff Middle,             148
2020-2021,136,Chesapeake City ,160,Norfolk Highlands Primary,              52
2020-2021,136,Chesapeake City ,80,Oscar F. Smith High,             428
2020-2021,136,Chesapeake City ,10,Oscar Smith Middle,             241
2020-2021,136,Chesapeake City ,730,Portlock Primary,              89
2020-2021,136,Chesapeake City ,200,Rena B. Wright Primary,              51
2020-2021,136,Chesapeake City ,620,Southeastern Elementary,             153
2020-2021,136,Chesapeake City ,600,Southwestern Elementary,             101
2020-2021,136,Chesapeake City ,750,Sparrow Road Intermediate,              84
2020-2021,136,Chesapeake City ,40,Thurgood Marshall Elementary,              61
2020-2021,136,Chesapeake City ,971,Truitt Intermediate,              58
2020-2021,136,Chesapeake City ,840,Western Branch High,             400
2020-2021,136,Chesapeake City ,810,Western Branch Intermediate,             135
2020-2021,136,Chesapeake City ,740,Western Branch Middle,             167
2020-2021,136,Chesapeake City ,110,Western Branch Primary,             126
2020-2021,21,Chesterfield County ,620,A.M. Davis Elementary,             116
2020-2021,21,Chesterfield County ,861,Alberta Smith Elementary,             140
2020-2021,21,Chesterfield County ,631,Bailey Bridge Middle,             237
2020-2021,21,Chesterfield County ,660,Bellwood Elementary,              71
2020-2021,21,Chesterfield County ,430,Bensley Elementary,              77
2020-2021,21,Chesterfield County ,510,Bettie Weaver Elementary,              81
2020-2021,21,Chesterfield County ,130,Beulah Elementary,              96
2020-2021,21,Chesterfield County ,20,Bon Air Elementary,             115
2020-2021,21,Chesterfield County ,50,C.C. Wells Elementary,             108
2020-2021,21,Chesterfield County ,492,C.E. Curtis Elementary,              76
2020-2021,21,Chesterfield County ,30,Carver College and Career Academy,              63
2020-2021,21,Chesterfield County ,420,Carver Middle,             186
2020-2021,21,Chesterfield County ,150,Clover Hill Elementary,             104
2020-2021,21,Chesterfield County ,740,Clover Hill High,             196
2020-2021,21,Chesterfield County ,840,Cosby High,             189
2020-2021,21,Chesterfield County ,560,Crestwood Elementary,              71
2020-2021,21,Chesterfield County ,480,Ecoff Elementary,              88
2020-2021,21,Chesterfield County ,870,Elizabeth Davis Middle,             161
2020-2021,21,Chesterfield County ,850,Elizabeth Scott Elementary,              87
2020-2021,21,Chesterfield County ,390,Enon Elementary,             112
2020-2021,21,Chesterfield County ,350,Ettrick Elementary,              69
2020-2021,21,Chesterfield County ,300,Evergreen Elementary,             161
2020-2021,21,Chesterfield County ,590,Falling Creek Elementary,              75
2020-2021,21,Chesterfield County ,670,Falling Creek Middle,             164
2020-2021,21,Chesterfield County ,180,Grange Hall Elementary,             102
2020-2021,21,Chesterfield County ,70,Greenfield Elementary,              72
2020-2021,21,Chesterfield County ,460,Harrowgate Elementary,              84
2020-2021,21,Chesterfield County ,60,Hopkins Road Elementary,              85
2020-2021,21,Chesterfield County ,550,J.A. Chalkley Elementary,              86
2020-2021,21,Chesterfield County ,650,J.B. Watkins Elementary,              75
2020-2021,21,Chesterfield County ,500,J.G. Hening Elementary,             135
2020-2021,21,Chesterfield County ,400,Jacobs Road Elementary,             120
2020-2021,21,Chesterfield County ,770,James River High,             219
2020-2021,21,Chesterfield County ,10,Lloyd C. Bird High,             245
2020-2021,21,Chesterfield County ,632,Manchester High,             348
2020-2021,21,Chesterfield County ,600,Manchester Middle,             149
2020-2021,21,Chesterfield County ,780,Marguerite F. Christian Elementary,             106
2020-2021,21,Chesterfield County ,370,Matoaca Elementary,              71
2020-2021,21,Chesterfield County ,530,Matoaca High,             210
2020-2021,21,Chesterfield County ,110,Matoaca Middle,             109
2020-2021,21,Chesterfield County ,580,Meadowbrook High,             226
2020-2021,21,Chesterfield County ,320,Midlothian High,             225
2020-2021,21,Chesterfield County ,40,Midlothian Middle,             147
2020-2021,21,Chesterfield County ,280,Monacan High,             175
2020-2021,21,Chesterfield County ,360,O.B. Gates Elementary,             143
2020-2021,21,Chesterfield County ,90,Old Hundred Elementary,             108
2020-2021,21,Chesterfield County ,380,Providence Elementary,             118
2020-2021,21,Chesterfield County ,690,Providence Middle,             142
2020-2021,21,Chesterfield County ,700,Reams Road Elementary,              78
2020-2021,21,Chesterfield County ,730,Robious Elementary,              99
2020-2021,21,Chesterfield County ,760,Robious Middle,             158
2020-2021,21,Chesterfield County ,720,Salem Church Elementary,              80
2020-2021,21,Chesterfield County ,722,Salem Church Middle,             150
2020-2021,21,Chesterfield County ,800,Spring Run Elementary,             141
2020-2021,21,Chesterfield County ,340,Swift Creek Elementary,              98
2020-2021,21,Chesterfield County ,270,Swift Creek Middle,             116
2020-2021,21,Chesterfield County ,410,Thelma Crenshaw Elementary,              94
2020-2021,21,Chesterfield County ,610,Thomas Dale High,             334
2020-2021,21,Chesterfield County ,880,Tomahawk Creek Middle,             175
2020-2021,21,Chesterfield County ,290,W.W. Gordon Elementary,              63
2020-2021,21,Chesterfield County ,860,Winterpock Elementary,             125
2020-2021,21,Chesterfield County ,440,Woolridge Elementary,             109
2020-2021,22,Clarke County ,250,Boyce Elementary,              40
2020-2021,22,Clarke County ,10,Clarke County High,              56
2020-2021,22,Clarke County ,290,D.G. Cooley Elementary,              47
2020-2021,22,Clarke County ,280,Johnson-Williams Middle,              41
2020-2021,202,Colonial Beach ,22,Colonial Beach Elementary,              63
2020-2021,202,Colonial Beach ,21,Colonial Beach High,              29
2020-2021,106,Colonial Heights City ,40,Colonial Heights High,             140
2020-2021,106,Colonial Heights City ,20,Colonial Heights Middle,             119
2020-2021,106,Colonial Heights City ,50,Lakeview Elementary,              68
2020-2021,106,Colonial Heights City ,30,North Elementary,              43
2020-2021,106,Colonial Heights City ,60,Tussing Elementary,             113
2020-2021,107,Covington City ,350,Covington High,              64
2020-2021,107,Covington City ,260,Edgemont Primary,              67
2020-2021,107,Covington City ,360,Jeter-Watson Intermediate,              66
2020-2021,23,Craig County ,11,Craig County High,              80
2020-2021,23,Craig County ,10,McCleary Elementary,              74
2020-2021,24,Culpeper County ,240,A.G. Richardson Elementary,              94
2020-2021,24,Culpeper County ,480,Culpeper County High,             114
2020-2021,24,Culpeper County ,20,Culpeper Middle,             125
2020-2021,24,Culpeper County ,50,Eastern View High,             113
2020-2021,24,Culpeper County ,450,Emerald Hill Elementary,              84
2020-2021,24,Culpeper County ,470,Farmington Elementary,              55
2020-2021,24,Culpeper County ,581,Floyd T. Binns Middle,              78
2020-2021,24,Culpeper County ,582,Galbreath-Marshall Building,              26
2020-2021,24,Culpeper County ,10,Pearl Sample Elementary,              77
2020-2021,24,Culpeper County ,460,Sycamore Park Elementary,              76
2020-2021,24,Culpeper County ,40,Yowell Elementary,              83
2020-2021,25,Cumberland County ,140,Cumberland Elementary,              52
2020-2021,25,Cumberland County ,151,Cumberland High,              55
2020-2021,25,Cumberland County ,152,Cumberland Middle,              48
2020-2021,108,Danville City ,490,Edwin A. Gibson Elementary,              91
2020-2021,108,Danville City ,20,Forest Hills Elementary,              25
2020-2021,108,Danville City ,190,G.L.H. Johnson Elementary,              14
2020-2021,108,Danville City ,1374,Galileo Magnet High,              17
2020-2021,108,Danville City ,210,George Washington High,             242
2020-2021,108,Danville City ,200,Grove Park Preschool,              29
2020-2021,108,Danville City ,260,O. Trent Bonner Middle,              95
2020-2021,108,Danville City ,250,Park Avenue Elementary,              58
2020-2021,108,Danville City ,40,Schoolfield Elementary,              60
2020-2021,108,Danville City ,1372,Westwood Middle,             108
2020-2021,108,Danville City ,220,Woodberry Hills Elementary,              52
2020-2021,108,Danville City ,1379,Woodrow Wilson Intermediate,              29
2020-2021,26,Dickenson County ,20,Clintwood Elementary,              64
2020-2021,26,Dickenson County ,530,Ervinton Elementary,              31
2020-2021,26,Dickenson County ,275,Ridgeview High,             108
2020-2021,26,Dickenson County ,280,Ridgeview Middle,              89
2020-2021,26,Dickenson County ,860,Sandlick Elementary,              68
2020-2021,27,Dinwiddie County ,500,Dinwiddie County High,             211
2020-2021,27,Dinwiddie County ,471,Dinwiddie County Middle,             165
2020-2021,27,Dinwiddie County ,310,Dinwiddie Elementary,              64
2020-2021,27,Dinwiddie County ,250,Midway Elementary,              32
2020-2021,27,Dinwiddie County ,10,Southside Elementary,              70
2020-2021,27,Dinwiddie County ,180,Sunnyside Elementary,              31
2020-2021,27,Dinwiddie County ,483,Sussex Central Elementary,<
2020-2021,27,Dinwiddie County ,520,Sutherland Elementary,              47
2020-2021,28,Essex County ,10,Essex High,              82
2020-2021,28,Essex County ,150,Essex Intermediate,              57
2020-2021,28,Essex County ,160,Tappahannock Elementary,              36
2020-2021,29,Fairfax County ,2203,Aldrin Elementary,             110
2020-2021,29,Fairfax County ,660,Annandale High,             382
2020-2021,29,Fairfax County ,1360,Annandale Terrace Elementary,              85
2020-2021,29,Fairfax County ,110,Archer Elementary,              69
2020-2021,29,Fairfax County ,1530,Armstrong Elementary,             106
2020-2021,29,Fairfax County ,550,Bailey's Elementary School for the Arts and Sciences,              89
2020-2021,29,Fairfax County ,2459,Bailey's Upper Elementary School for the Arts and Sciences,              76
2020-2021,29,Fairfax County ,1730,Beech Tree Elementary,              60
2020-2021,29,Fairfax County ,560,Belle View Elementary,              88
2020-2021,29,Fairfax County ,720,Belvedere Elementary,             100
2020-2021,29,Fairfax County ,2000,Bonnie Brae Elementary,             132
2020-2021,29,Fairfax County ,1090,Braddock Elementary,             101
2020-2021,29,Fairfax County ,940,Bren Mar Park Elementary,              88
2020-2021,29,Fairfax County ,1790,Brookfield Elementary,              83
2020-2021,29,Fairfax County ,2201,Bryant High,              18
2020-2021,29,Fairfax County ,700,Bucknell Elementary,              54
2020-2021,29,Fairfax County ,2251,Bull Run Early Childhood Resource Center,             152
2020-2021,29,Fairfax County ,2225,Bull Run Elementary,              86
2020-2021,29,Fairfax County ,680,Bush Hill Elementary,             104
2020-2021,29,Fairfax County ,1940,Camelot Elementary,              96
2020-2021,29,Fairfax County ,620,Cameron Elementary,              66
2020-2021,29,Fairfax County ,1590,Canterbury Woods Elementary,             111
2020-2021,29,Fairfax County ,1690,Cardinal Forest Elementary,             111
2020-2021,29,Fairfax County ,2222,Carson Middle,             120
2020-2021,29,Fairfax County ,2090,Centre Ridge Elementary,             106
2020-2021,29,Fairfax County ,2205,Centreville Elementary,             132
2020-2021,29,Fairfax County ,200,Centreville High,             342
2020-2021,29,Fairfax County ,131,Chantilly High,             448
2020-2021,29,Fairfax County ,480,Cherry Run Elementary,              83
2020-2021,29,Fairfax County ,100,Chesterbrook Elementary,              68
2020-2021,29,Fairfax County ,1050,Churchill Road Elementary,              74
2020-2021,29,Fairfax County ,260,Clearview Elementary,             112
2020-2021,29,Fairfax County ,1870,Clermont Elementary,              55
2020-2021,29,Fairfax County ,2347,Coates Elementary,              86
2020-2021,29,Fairfax County ,1510,Columbia Elementary,              76
2020-2021,29,Fairfax County ,2234,Colvin Run Elementary,              88
2020-2021,29,Fairfax County ,1190,Cooper Middle,              96
2020-2021,29,Fairfax County ,870,Crestwood Elementary,              57
2020-2021,29,Fairfax County ,2020,Crossfield Elementary,             101
2020-2021,29,Fairfax County ,1600,Cub Run Elementary,             106
2020-2021,29,Fairfax County ,1700,Cunningham Park Elementary,             103
2020-2021,29,Fairfax County ,2229,Daniels Run Elementary,             143
2020-2021,29,Fairfax County ,2204,Deer Park Elementary,             128
2020-2021,29,Fairfax County ,220,Dogwood Elementary,             110
