County Name,Organization Code,Organization Name,Students with Disabilities Final Grad Base,Students with Disabilities Graduates Total,Students with Disabilities Graduation Rate,Students with Disabilities Completers Total,Students with Disabilities Completion Rate,Limited English Proficient Final Grad Base,Limited English Proficient Graduates Total,Limited English Proficient Graduation Rate,Limited English Proficient Completers Total,Limited English Proficient Completion Rate,Econ. Disadvant. Final Grad Base,Econ. Disadvant. Graduates Total,Econ. Disadvant. Graduation Rate,Econ. Disadvant. Completers Total,Econ. Disadvant. Completion Rate,Migrant Final Grad Base,Migrant Graduates Total,Migrant Graduation Rate,Migrant Completers Total,Migrant Completion Rate,Title 1 Final Grad Base,Title 1 Graduates Total,Title 1 Graduation Rate,Title 1 Completers Total,Title 1 Completion Rate,Homeless Final Grad Base,Homeless Graduates Total,Homeless Graduation Rate,Homeless Completers Total,Homeless Completion Rate,Gifted-Talented Final Grad Base,Gifted-Talented Graduates Total,Gifted-Talented Graduation Rate,Gifted-Talented Completers Total,Gifted-Talented Completion Rate
WELD,3100,WINDSOR RE-4,23,15,65.2,15,65.2,4,2,50,2,50,57,45,78.9,47,82.5,0,0,0,0,0,0,0,0,0,0,5,2,40,2,40,34,33,97.1,34,100
WELD,3110,JOHNSTOWN-MILLIKEN RE-5J,8,7,87.5,7,87.5,15,10,66.7,11,73.3,69,43,62.3,50,72.5,2,1,50,1,50,1,1,100,1,100,1,1,100,1,100,5,5,100,5,100
WELD,3120,GREELEY 6,148,93,62.8,97,65.5,201,149,74.1,150,74.6,794,571,71.9,600,75.6,43,34,79.1,34,79.1,85,47,55.3,48,56.5,76,47,61.8,50,65.8,146,140,95.9,143,97.9
WELD,3130,PLATTE VALLEY RE-7,6,5,83.3,5,83.3,6,5,83.3,5,83.3,48,40,83.3,41,85.4,3,2,66.7,2,66.7,0,0,0,0,0,4,2,50,3,75,5,5,100,5,100
WELD,3140,WELD COUNTY S/D RE-8,18,8,44.4,9,50,53,43,81.1,44,83,104,76,73.1,82,78.8,15,10,66.7,12,80,3,0,0,0,0,7,4,57.1,4,57.1,3,3,100,3,100
WELD,3145,AULT-HIGHLAND RE-9,7,7,100,7,100,7,7,100,7,100,37,35,94.6,37,100,1,1,100,1,100,0,0,0,0,0,5,5,100,5,100,4,4,100,4,100
WELD,3146,BRIGGSDALE RE-10,1,1,100,1,100,0,0,0,0,0,8,8,100,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WELD,3147,PRAIRIE RE-11,1,1,100,1,100,0,0,0,0,0,6,6,100,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100,2,100
WELD,3148,PAWNEE RE-12,0,0,0,0,0,0,0,0,0,0,2,2,100,2,100,0,0,0,0,0,9,9,100,9,100,0,0,0,0,0,1,1,100,1,100
YUMA,3200,YUMA 1,1,0,0,0,0,15,12,80,12,80,30,25,83.3,26,86.7,2,1,50,1,50,11,8,72.7,8,72.7,4,1,25,1,25,5,5,100,5,100
YUMA,3210,WRAY RD-2,6,5,83.3,5,83.3,4,3,75,3,75,19,16,84.2,16,84.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,100,4,100
YUMA,3220,IDALIA RJ-3,1,1,100,1,100,0,0,0,0,0,8,8,100,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,1,100
YUMA,3230,LIBERTY J-4,1,1,100,1,100,0,0,0,0,0,3,3,100,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,1,100
NONE,8001,CHARTER SCHOOL INSTITUTE,111,16,14.4,17,15.3,141,31,22,34,24.1,760,166,21.8,185,24.3,10,3,30,3,30,747,176,23.6,195,26.1,121,11,9.1,11,9.1,47,23,48.9,27,57.4
COLORADO BOCS,9030,MOUNTAIN BOCES,19,14,73.7,16,84.2,17,10,58.8,12,70.6,56,35,62.5,43,76.8,1,1,100,1,100,1,1,100,1,100,14,9,64.3,10,71.4,2,1,50,1,50
COLORADO BOCS,9035,CENTENNIAL BOCES,6,1,16.7,1,16.7,4,1,25,2,50,14,5,35.7,6,42.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COLORADO BOCS,9050,SAN JUAN BOCES,1,0,0,0,0,1,1,100,1,100,4,1,25,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100
COLORADO BOCS,9130,EXPEDITIONARY BOCES,2,2,100,2,100,0,0,0,0,0,3,3,100,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,9999,STATE TOTAL,5775,3099,53.7,3222,55.8,6171,3289,53.3,3364,54.5,25718,15791,61.4,16726,65,384,214,55.7,223,58.1,7398,3853,52.1,4129,55.8,2394,1175,49.1,1262,52.7,6604,6048,91.6,6156,93.2
