LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_ENR,LEA_ENR_NONLEAFAC,LEA_SCHOOLS,LEA_CRCOORD_SEX_IND,LEA_CRCOORD_RAC_IND,LEA_CRCOORD_DIS_IND,LEA_CRCOORD_SEX_FN,LEA_CRCOORD_SEX_LN,LEA_CRCOORD_SEX_PH,LEA_CRCOORD_SEX_EM,LEA_CRCOORD_RAC_FN,LEA_CRCOORD_RAC_LN,LEA_CRCOORD_RAC_PH,LEA_CRCOORD_RAC_EM,LEA_CRCOORD_DIS_FN,LEA_CRCOORD_DIS_LN,LEA_CRCOORD_DIS_PH,LEA_CRCOORD_DIS_EM,LEA_DESEGPLAN,LEA_HBPOLICY_IND,LEA_HBPOLICYURL_IND,LEA_HBPOLICY_URL,LEA_ECE_IND,LEA_ECE_NONIDEA,LEA_PS_IND,LEA_PS_FULLDAYFREE,LEA_PS_FULLDAYCOST,LEA_PS_PARTDAYFREE,LEA_PS_PARTDAYCOST,LEA_PSENR_NONIDEA_A3,LEA_PSENR_NONIDEA_A4,LEA_PSENR_NONIDEA_A5,LEA_PSENR_A2,LEA_PSENR_A3,LEA_PSENR_A4,LEA_PSENR_A5,LEA_PSELIG_ALL,LEA_PSELIG_IDEA,LEA_PSELIG_TITLEI,LEA_PSELIG_LOWINC,LEA_KG_IND,LEA_KG_FULLDAYFREE,LEA_KG_FULLDAYCOST,LEA_KG_PARTDAYFREE,LEA_KG_PARTDAYCOST,LEA_GED_IND,LEA_GEDPART_HI_M,LEA_GEDPART_HI_F,LEA_GEDPART_AM_M,LEA_GEDPART_AM_F,LEA_GEDPART_AS_M,LEA_GEDPART_AS_F,LEA_GEDPART_HP_M,LEA_GEDPART_HP_F,LEA_GEDPART_BL_M,LEA_GEDPART_BL_F,LEA_GEDPART_WH_M,LEA_GEDPART_WH_F,LEA_GEDPART_TR_M,LEA_GEDPART_TR_F,TOT_GEDPART_M,TOT_GEDPART_F,LEA_GEDPART_LEP_M,LEA_GEDPART_LEP_F,LEA_GEDPART_IDEA_M,LEA_GEDPART_IDEA_F,LEA_GEDCRED_HI_M,LEA_GEDCRED_HI_F,LEA_GEDCRED_AM_M,LEA_GEDCRED_AM_F,LEA_GEDCRED_AS_M,LEA_GEDCRED_AS_F,LEA_GEDCRED_HP_M,LEA_GEDCRED_HP_F,LEA_GEDCRED_BL_M,LEA_GEDCRED_BL_F,LEA_GEDCRED_WH_M,LEA_GEDCRED_WH_F,LEA_GEDCRED_TR_M,LEA_GEDCRED_TR_F,TOT_GEDCRED_M,TOT_GEDCRED_F,LEA_GEDCRED_LEP_M,LEA_GEDCRED_LEP_F,LEA_GEDCRED_IDEA_M,LEA_GEDCRED_IDEA_F,LEA_DISTED_IND,LEA_DISTEDENR_HI_M,LEA_DISTEDENR_HI_F,LEA_DISTEDENR_AM_M,LEA_DISTEDENR_AM_F,LEA_DISTEDENR_AS_M,LEA_DISTEDENR_AS_F,LEA_DISTEDENR_HP_M,LEA_DISTEDENR_HP_F,LEA_DISTEDENR_BL_M,LEA_DISTEDENR_BL_F,LEA_DISTEDENR_WH_M,LEA_DISTEDENR_WH_F,LEA_DISTEDENR_TR_M,LEA_DISTEDENR_TR_F,TOT_DISTEDENR_M,TOT_DISTEDENR_F,LEA_DISTEDENR_LEP_M,LEA_DISTEDENR_LEP_F,LEA_DISTEDENR_IDEA_M,LEA_DISTEDENR_IDEA_F
CO,COLORADO,0801920,Academy School District 20,1110 CHAPEL HILLS DRIVE,COLORADO SPRINGS,80920,No,26487,26,39,Yes,Yes,Yes,Bob,Cohn,(719) 234-1216,bob.cohn@asd20.org,Bob,Cohn,(719) 234-1216,bob.cohn@asd20.org,Becky,Allan,(719) 896-0008,becky.allan@asd20.org,No,Yes,Yes,http://www.boarddocs.com/co/asd20/Board.nsf/goto?open&id=ADCPZV671AF1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,0,134,239,2,Yes,-9,-9,-9,Yes,No,Yes,Yes,No,Yes,0,2,0,0,0,0,0,0,0,0,11,8,2,2,13,12,0,0,5,8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,4,-2,-2,7,4,-2,-2,-2,-2,Yes,38,44,2,2,11,23,0,2,2,5,233,287,8,20,294,383,2,0,26,11
CO,COLORADO,0801950,School District N. 14 in the county of Adams & State of Colo,5291 EAST 60TH AVENUE,COMMERCE CITY,80022,No,7577,101,13,Yes,Yes,Yes,Jeannette,Patterson,303-853-3202,jpatterson@adams14.org,Jeannette,Patterson,303-853-3202,jpatterson@adams14.org,Ruben,Chacon,303-853-8154,rchacon@adams14.org,No,Yes,Yes,http://z2.ctspublish.com/casb/Z2Browser2.html?showset=adams14-casb,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,0,254,398,0,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,2,5,0,0,0,0,0,0,0,0,2,2,0,0,4,7,2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Yes,263,215,2,0,0,0,0,0,11,2,32,35,2,2,310,254,77,59,29,11
CO,COLORADO,0801980,Agate School District No. 300,PO BOX 118,AGATE,80101,No,3,0,3,Yes,Yes,Yes,Kendra,Ewing,(719) 764-2741,kendrae@agateschools.net,Kendra,Ewing,(719) 764-2741,kendrae@agateschools.net,Kendra,Ewing,(719) 764-2741,kendrae@agateschools.net,No,Yes,Yes,http://www.agateschools.net,No,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0802010,Aguilar Reorganized School District No. 6,P O BOX 567,AGUILAR,81020,No,124,0,2,Yes,Yes,Yes,Stacy,Houser,(719)941-4188,shouser@aguilarschools.org,Stacy,Houser,(719)941-4188,shouser@aguilarschools.org,Stacy,Houser,(719)941-4188,shouser@aguilarschools.org,No,Yes,Yes,www.aguilarschools.com,No,-9,Yes,Yes,No,Yes,No,Yes,Yes,Yes,0,2,8,5,Yes,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0802040,Akron School District No. R-1,P O BOX 429,AKRON,80720,No,351,350,2,Yes,Yes,Yes,Brian,Christensen,970-345-2268,b.christensen@akronrams.org,Brian,Christensen,970-345-2268,b.christensen@akronrams.org,Britney,Weers,970-345-2268,b.weers@akronrams.org,No,Yes,Yes,http://akronrams.schoolwires.net/domain/173,No,-9,Yes,No,Yes,No,No,No,Yes,No,0,0,17,0,No,Yes,No,Yes,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,2,2,0,0,0,0,0,0,0,0,11,8,2,0,15,10,0,0,0,0
CO,COLORADO,0802070,Alamosa School District No. Re-11J,209 VICTORIA AVENUE,ALAMOSA,81101,Yes,2237,0,4,Yes,Yes,Yes,Robert,Alejo,719-587-1600,ralejo@alamosa.k12.co.us,Robert,Alejo,719-587-1600,ralejo@alamosa.k12.co.us,Robert,Alejo,719-587-1600,ralejo@alamosa.k12.co.us,No,Yes,Yes,https://dist.alamosa.k12.co.us/dist_board_policies,No,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0802130,South Conejos School District No. Re10,P O BOX 398,Antonito,81120,No,216,0,3,Yes,Yes,Yes,Carla,Archuleta,(719)588-8703,carla@southconejos.com,Carla,Archuleta,(719)588-8703,carla@southconejos.com,Carla,Archuleta,(719)588-8703,carla@southconejos.com,No,Yes,Yes,https://drive.google.com/open?id=0BzRjcjt_FMkEUjB1SHdXaXdGM0U,No,-9,Yes,Yes,No,No,No,Yes,Yes,Yes,0,2,2,5,No,No,Yes,Yes,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
CO,COLORADO,0802190,Archuleta County School District No. 50 Jt,P O BOX 1498,PAGOSA SPRINGS,81147,No,1372,62,4,Yes,Yes,Yes,Linda,Reed,970-264-2228x402,lreed@pagosa.k12.co.us,Linda,Reed,970-264-2228x402,lreed@pagosa.k12.co.us,Linda,Reed,970-264-2228x402,lreed@pagosa.k12.co.us,No,Yes,No,-9,No,-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,11,32,0,Yes,-9,-9,-9,Yes,Yes,Yes,Yes,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,0,0,0,0,0,0,0,0,0,0,2,8,0,0,2,8,0,0,0,0
CO,COLORADO,0802220,Arickaree School District No. R-2,12155 COUNTY ROAD NN,ANTON,80801,No,103,0,2,Yes,Yes,Yes,Shane,Walkinshaw,970-383-2202 x15,shanew@arickaree.org,Shane,Walkinshaw,970-383-2202 x15,shanew@arickaree.org,Shane,Walkinshaw,970-383-2202 x15,shanew@arickaree.org,No,Yes,Yes,www.arickaree.org,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,0,2,5,0,Yes,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,0,2,0,0,0,0,0,0,0,0,5,8,0,0,5,10,0,0,0,0
CO,COLORADO,0802260,Arriba-Flagler Consolidated School District No. 20,P O BOX 218,FLAGLER,80815,No,184,0,1,Yes,Yes,Yes,Valorie,McCleary,719-765-4684 x115,vmccleary@af20.net,Valorie,McCleary,719-765-4684 x115,vmccleary@af20.net,Valorie,McCleary,719-765-4684 x115,vmccleary@af20.net,No,Yes,Yes,www.af20.net,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,0,8,11,5,Yes,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,0,2,0,0,0,0,0,0,0,0,5,5,0,0,5,7,0,0,0,0
CO,COLORADO,0802280,Aspen School District No. 1 in the county of Pitkin and Sta,0235 HIGH SCHOOL ROAD,ASPEN,81611,No,1727,2,5,Yes,Yes,Yes,Jay,Maher,(970) 925-3760 x 1130,jmaher@aspenk12.net,Tom,Heald,(970) 925-3760 x 4005,theald@aspenk12.net,Heather,Abraham,970-925-3760 x 4002,habraham@aspenk12.net,No,Yes,Yes,http://asd.schoolwires.net/Page/175,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,8,17,17,2,Yes,-9,-9,-9,Yes,No,Yes,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,2,8,0,0,0,0,0,0,0,0,20,17,0,0,22,25,0,2,0,0
CO,COLORADO,0802310,Weld County School District No. Re-9,P O BOX 68,AULT,80610,No,836,41,3,Yes,Yes,Yes,Robert,"Ring, Jr.",(970)834-3145,rring@weldre9.k12.co.us,Robert,"Ring, Jr.",(970)834-3145,rring@weldre9.k12.co.us,Robert,"Ring, Jr.",(970)834-3145,rring@weldre9.k12.co.us,No,Yes,Yes,www.weldre9.k12.co.us/schoolboard/policies,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,11,17,5,Yes,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0802340,Aurora Joint District No. 28 of the counties of Adams and A,15701 E. 1ST AVE. SUITE 206,AURORA,80011,Yes,41280,0,59,Yes,Yes,Yes,Marcelina,Rivera,303-365-7800,MRIVERA@aps.k12.co.us,Marcelina,Rivera,303-365-7800,MRIVERA@aps.k12.co.us,Marcelina,Rivera,303-365-7800,MRIVERA@aps.k12.co.us,No,Yes,Yes,https://drive.google.com/file/d/0B2-JKTfrfy3nV1UyTzROTmwybFE/view,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0,815,1430,3272,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,38,44,2,0,0,2,0,0,8,14,11,17,5,2,64,79,11,11,8,5
