LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_DISTED_IND,LEA_DISTEDENR_HI_M,LEA_DISTEDENR_HI_F,LEA_DISTEDENR_AM_M,LEA_DISTEDENR_AM_F,LEA_DISTEDENR_AS_M,LEA_DISTEDENR_AS_F,LEA_DISTEDENR_HP_M,LEA_DISTEDENR_HP_F,LEA_DISTEDENR_BL_M,LEA_DISTEDENR_BL_F,LEA_DISTEDENR_WH_M,LEA_DISTEDENR_WH_F,LEA_DISTEDENR_TR_M,LEA_DISTEDENR_TR_F,TOT_DISTEDENR_M,TOT_DISTEDENR_F,LEA_DISTEDENR_LEP_M,LEA_DISTEDENR_LEP_F,LEA_DISTEDENR_IDEA_M,LEA_DISTEDENR_IDEA_F
CO,Colorado,0800292,Colorado River Boces,460 Stone Quarry Road,Parachute,81635,No,Yes,28,25,2,1,1,0,1,0,0,1,31,42,0,0,63,69,4,7,12,10
CO,Colorado,0801920,Academy School District No. 20,1110 Chapel Hills Drive,Colorado Springs,80920,No,Yes,28,42,0,0,4,9,0,0,4,11,219,220,11,15,266,297,1,1,12,8
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,5291 East 60th Avenue,Commerce City,80022,No,Yes,189,129,0,1,0,1,0,0,3,0,20,11,2,0,214,142,72,34,21,9
CO,Colorado,0801980,Agate School District No. 300,41032 2nd Avenue,Agate,80101,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802010,Aguilar Reorganized School District No. 6,420 North Balsam,Aguilar,81020,No,Yes,1,1,0,0,0,0,0,0,0,0,2,2,0,0,3,3,0,0,0,0
CO,Colorado,0802040,Akron School District No. R-1,600 Elm Avenue,Akron,80720,No,Yes,0,0,0,0,0,0,0,0,0,0,7,1,0,0,7,1,0,0,0,0
CO,Colorado,0802070,Alamosa School District No. Re-11j,209 Victoria Avenue,Alamosa,81101,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802130,South Conejos School District No. Re10,13099 County Road G,Antonito,81120,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802190,Archuleta County School District No. 50 Jt,800 B South 8th Street,Pagosa Springs,81147,No,Yes,6,9,3,6,0,0,0,0,1,0,6,5,0,1,16,21,1,0,6,7
CO,Colorado,0802220,Arickaree School District No. R-2,12155 County Road Nn,Anton,80801,No,Yes,1,2,0,0,0,0,0,0,0,0,10,6,0,0,11,8,0,0,0,0
CO,Colorado,0802260,Arriba-Flagler Consolidated School District No. 20,421 Julian Street,Flagler,80815,No,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
CO,Colorado,0802280,Aspen School District No. 1 In The County Of Pitkin And Sta,0235 High School Road,Aspen,81611,No,Yes,0,3,0,0,0,0,0,0,0,2,11,15,0,0,11,20,0,0,1,1
CO,Colorado,0802310,Weld County School District No. Re-9,210 W. 1st Street,Ault,80610,No,Yes,12,9,0,2,0,0,0,1,0,1,12,13,0,2,24,28,4,3,2,3
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,15701 E. 1st Ave. Suite 206,Aurora,80011,Yes,Yes,2,3,0,0,2,0,0,0,0,0,1,2,0,2,5,7,1,1,0,0
CO,Colorado,0802370,Platte Canyon School District No. 1 Of  The County Of Park,57393 Us Highway 285,Bailey,80421,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802400,Bayfield School District No. 10jt-R,24 S Clover Drive,Bayfield,81122,No,Yes,16,20,5,8,0,1,2,0,0,1,51,56,8,6,82,92,13,11,11,2
CO,Colorado,0802430,Bennett School District No. 29j,610 7th Street,Bennett,80102,No,Yes,1,10,0,0,0,0,0,0,0,0,18,28,2,0,21,38,0,0,0,0
CO,Colorado,0802460,Bethune School District No. R- 5,145 West 3rd Avenue,Bethune,80805,No,Yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
CO,Colorado,0802490,Boulder Valley School District No. Re2,6500 Arapahoe Road,Boulder,80303,No,Yes,228,195,8,10,65,77,4,0,15,9,903,860,108,77,1331,1228,8,21,120,51
CO,Colorado,0802520,Branson Reorganized School District No. 82,101 Saddle  Rock Drive,Branson,81027,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802550,School District No. Re-10 In The County Of Weld And State O,515 Leslie Street,Briggsdale,80611,No,Yes,1,0,0,0,0,0,0,0,0,0,1,8,0,0,2,8,0,0,0,0
CO,Colorado,0802580,School District 27j,18551 East 160th Avenue,Brighton,80601,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802610,School District No. Re-2 Brush,527 Industrial Park Road,Brush,80723,No,Yes,16,27,4,2,0,0,0,1,0,2,14,23,4,2,38,57,4,7,5,4
CO,Colorado,0802640,Buena Vista School District No. R-31,113 North Court Street,Buena Vista,81211,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802670,Burlington Public School District No. Re-6j,2600 Rose Avenue,Burlington,80807,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802700,Byers School District No. 32j,444 East Front Street,Byers,80103,No,Yes,544,688,13,27,24,42,8,16,158,153,1236,1289,4,3,1987,2218,85,135,50,100
CO,Colorado,0802730,Calhan District No. Rj1,800 Bulldog Drive,Calhan,80808,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802760,Campo School District No. Re-6,480 Maple Street,Campo,81029,No,Yes,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,3,0,0,0,0
CO,Colorado,0802790,Fremont Re-1,101 North 14th Street,Canon City,81212,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802850,Center Consolidated School District No. 26 Jt. Of The Count,550 S. Sylvester Avenue,Center,81125,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802880,Cheraw School District No. 31 In The County Of Otero And S,110 Lakeview Ave.,Cheraw,81030,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802910,Cherry Creek School District No. 5 In The County Of Arapah,4700 South Yosemite Street,Greenwood Village,80111,Yes,-11,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0802940,Cheyenne Mountain School District No. 12 In The County Of E,1775 Laclede Street,Colorado Springs,80905,No,Yes,8,7,1,1,0,2,0,0,2,0,59,55,4,6,74,71,0,0,7,3
CO,Colorado,0803000,Clear Creek School District No. Re-1,320 Highway 103,Idaho Springs,80452,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803030,Plateau Valley School District No. 50 In The County Of Mesa,56600 Highway 330,Collbran,81624,No,Yes,0,2,1,1,1,2,0,0,0,0,22,29,0,1,24,35,0,1,2,0
CO,Colorado,0803060,Colorado Springs School District No. 11 In The County Of E,1115 North El Paso Street,Colorado Springs,80903,Yes,Yes,32,57,1,1,3,2,2,2,9,9,87,82,8,12,142,165,0,0,15,7
CO,Colorado,0803090,Montezuma-Cortez School District No. Re-1,400 North Elm,Cortez,81321,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803120,Fremont Re-3,0345 County Road 12,Cotopaxi,81223,No,Yes,0,1,0,0,0,0,0,0,0,0,12,14,0,0,12,15,0,1,1,0
CO,Colorado,0803150,Creede School District,450 Corsair Drvie,Creede,81130,No,Yes,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,1,0
CO,Colorado,0803180,Cripple Creek-Victor School District No. Re-1,410 North B Street,Cripple Creek,80813,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803210,Crowley County School District No. Re-1-J,1001 Main Street,Ordway,81063,No,Yes,4,9,1,0,0,0,0,0,2,0,14,12,0,1,21,22,0,0,0,0
CO,Colorado,0803240,De Beque Joint District No. 49 Of The Counties Of Mesa And,P.O. Box 70,De Beque,81630,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803270,Deer Trail School District No. 26j,130 South Second Avenue,Deer Trail,80105,No,Yes,0,0,0,0,0,0,0,0,1,1,1,4,0,0,2,5,0,0,0,1
CO,Colorado,0803300,Upper Rio Grande School District C-7,950 French Street,Del Norte,81132,No,Yes,8,13,0,0,0,0,0,0,0,1,11,6,0,0,19,20,1,0,6,1
CO,Colorado,0803330,Delta County Joint District No. 50,145 West 4th Street,Delta,81416,No,Yes,37,10,2,0,0,0,1,0,0,0,93,54,7,1,140,65,1,1,28,1
CO,Colorado,0803360,School District No. 1 In The County Of Denver And State Of C,1860 Lincoln St.,Denver,80203,Yes,Yes,24,48,0,0,1,8,0,1,8,13,59,79,10,8,102,157,6,7,18,14
CO,Colorado,0803390,Dolores School District No. Re-4a,100 N. 6th Street,Dolores,81323,No,Yes,1,2,1,0,0,0,0,0,0,0,8,10,0,0,10,12,0,1,1,0
CO,Colorado,0803420,Dolores County School District Re-2j,425 North Main Street Suite B,Dove Creek,81324,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803450,Douglas County School District No. Re 1,701 Prairie Hawk Drive,Castle Rock,80108,No,-11,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803480,Durango School District No. 9-R,201 East 12th Street,Durango,81301,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803510,Kiowa County School District No. Re-1,210 West 10th,Eads,81036,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colorado,0803540,Eagle County School District No. Re 50,948 Chambers Avenue,Eagle,81631,No,Yes,10,5,0,0,0,0,0,0,0,0,0,0,3,0,13,5,8,0,5,0
CO,Colorado,0803600,Weld County School District No. Re-2,211 1st St,Eaton,80615,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803630,Edison Joint District No. 54 Of The Counties Of El Paso And,14550 Edison Road,Yoder,80864,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803690,Elbert School District No. 200,24489 Main Street,Elbert,80106,No,Yes,2,0,0,0,0,0,0,0,0,0,6,9,0,0,8,9,0,0,0,0
CO,Colorado,0803720,Elizabeth School District,634 South Elbert Street,Elizabeth,80107,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803750,Ellicott School District No. 22 In The County Of El Paso A,322 South Ellicott Highway,Ellicott,80808,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803780,Englewood School District No. 1 In The County Of Arapahoe,4101 South Bannock Street,Englewood,80110,No,Yes,231,228,3,5,8,6,0,0,17,25,213,211,28,31,500,506,84,80,129,85
CO,Colorado,0803810,Estes Park School District R-3,1605 Brodie Avenue,Estes Park,80517,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803840,Park County School District No. Re-2,640 Hathaway St,Fairplay,80440,No,Yes,0,6,1,0,2,1,0,0,0,2,29,17,1,1,33,27,0,0,4,6
CO,Colorado,0803870,El Paso County Colorado School District 49,10850 East Woodmen Road,Peyton,80831,No,-11,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803930,School District No. Re-3 Frenchman,506 North Fremont Ave,Fleming,80728,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803960,Fremont Re-2,403 West 5th Street,Florence,81226,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0803990,Poudre School District R-1,2407 Laporte Avenue,Fort Collins,80521,Yes,-11,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804020,Weld Re-8 Schools,200 S Fulton Ave,Fort Lupton,80621,No,Yes,3,8,0,0,0,0,0,0,0,0,2,3,0,1,5,12,0,0,0,0
CO,Colorado,0804050,School District No. Re-3 Fort Morgan,715 West Platte Avenue,Fort Morgan,80701,No,Yes,70,70,3,4,1,1,0,0,2,4,28,24,1,5,105,108,18,22,11,9
CO,Colorado,0804080,Fountain School District No. 8 In The County Of El Paso An,10665 Jimmy Camp Road,Fountain,80817,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804110,Fowler School District No. R4j,600 W. Eugene Ave,Fowler,81039,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804140,Sierra Grande School District No. R-30,17523 Highway 160,Blanca,81123,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804200,Weld County Reorganized School District No. Re-1,14827 County Road 42,Gilcrest,80623,No,Yes,9,3,5,2,0,0,0,0,0,0,9,7,0,0,23,12,5,0,1,0
CO,Colorado,0804230,Gilpin County School District No. Re-1,10595 Hwy 119,Black Hawk,80422,No,Yes,1,0,1,0,0,1,0,0,0,0,4,6,0,0,6,7,0,0,0,1
CO,Colorado,0804260,Roaring Fork School District No. Re-1,400 Sopris Avenue,Carbondale,81623,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804290,Granada School District No. Re-1,201 S Hoisington Avenue,Granada,81041,No,Yes,9,7,0,0,0,0,0,0,0,0,5,6,1,1,15,14,1,1,0,0
CO,Colorado,0804320,East Grand School District No. 2,299 County Road 611,Granby,80446,No,Yes,10,16,10,16,0,0,1,0,0,2,91,73,2,3,114,110,6,6,12,6
CO,Colorado,0804350,Mesa County Valley School District No. 51,2115 Grand Avenue,Grand Junction,81501,Yes,-11,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804380,Grand Valley School District No. 16 In The County Of Garfi,0460 Stone Quarry Road,Parachute,81635,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804410,Greeleyschool District No. 6 In The County Of Weld And Sta,1025 9th Avenue,Greeley,80631,Yes,-11,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804440,School District No. Re-12 In The County Of Weld And State Of,19 Chatoga,Grover,80729,No,Yes,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,1,0,0,0,0
CO,Colorado,0804470,Gunnison Watershed School District Re1j,800 North Boulevard,Gunnison,81230,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804500,Hanover School District No. 28 In The County Of El Paso An,17050 South Peyton Highway,Colorado Springs,80928,No,Yes,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,2,0,0,0,0
CO,Colorado,0804530,Harrison School District No. 2 In The County Of El Paso An,1060 Harrison Road,Colorado Springs,80905,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804560,Haxtun School District No. Re-2j,201 West Powell Street,Haxtun,80731,No,Yes,1,1,0,0,0,0,0,0,0,0,18,13,0,0,19,14,0,0,1,0
CO,Colorado,0804590,Hayden School District No. Re 1,300 Breeze Basin Blvd,Hayden,81639,No,Yes,1,1,0,0,0,0,0,0,0,0,10,11,0,0,11,12,1,1,0,0
CO,Colorado,0804620,Hinsdale County School District No. Re-1,614 N. Silver Street,Lake City,81235,No,Yes,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,2,0,0,0,0
CO,Colorado,0804650,Hoehne Reorganized School District No. 3,19851 County Rd. 75.1,Trinidad,81082,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804680,Holly School District No. Re-3,206 North Third Street,Holly,81047,No,Yes,3,6,0,0,0,0,0,0,0,0,2,2,0,0,5,8,0,0,0,0
CO,Colorado,0804710,Holyoke School District No. Re-1j,435 South Morlan,Holyoke,80734,No,Yes,2,1,0,0,0,0,0,0,0,0,4,3,0,0,6,4,0,0,0,0
CO,Colorado,0804740,Genoa-Hugo School District No. C-113,220 W 7th Street,Hugo,80821,No,Yes,0,0,0,0,0,0,0,0,0,0,11,13,1,0,12,13,0,0,0,0
CO,Colorado,0804770,Ignacio School District No. 11jt,455 Becker Street,Ignacio,81137,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804800,Jefferson County School District No. R-1,1829 Denver West Dr.  Bldg #27,Golden,80401,Yes,Yes,120,129,5,1,31,32,1,0,4,4,393,536,21,21,575,723,59,39,53,29
CO,Colorado,0804830,Weld County School District No. Re-5j,110 So Centennial Dr Suite 1,Milliken,80543,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804860,Julesburg School District No. Re1,102 West 6th Street,Julesburg,80737,No,Yes,68,77,2,6,7,3,1,0,15,21,325,269,28,32,446,408,12,16,9,3
CO,Colorado,0804890,Karval School District No. Re 23,16232 County Road 29,Karval,80823,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804920,Weld County School District Re-3j,1101 4th Ave,Hudson,80642,No,Yes,5,6,0,0,0,0,0,0,0,0,2,1,2,8,9,15,1,2,1,1
CO,Colorado,0804950,Weld County School District No. Re-7,501 Clark Street,Kersey,80644,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0804980,Kim Reorganized School District No. 88,425 State Street,Kim,81049,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0805010,School District No. C-2 In The County Of Elbert And State Of,525 Comanche St,Kiowa,80117,No,Yes,2,1,3,1,0,0,0,0,0,0,11,13,0,0,16,15,1,0,0,0
CO,Colorado,0805040,Kit Carson School District No. R-1,102 W. 5th Avenue,Kit Carson,80825,No,Yes,1,0,0,0,0,0,0,0,0,0,2,4,0,0,3,4,0,0,0,0
CO,Colorado,0805070,West Grand School District No. 1,715 Kinsey Avenue,Kremmling,80459,No,Yes,8,3,0,2,0,0,0,0,0,2,18,15,1,0,27,22,2,2,3,4
CO,Colorado,0805100,North Conejos School District No. Re1j,17890 Us Hwy 285,La Jara,81140,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0805130,East Otero School District No. R1,301 Raton Avenue,La Junta,81050,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0805160,La Veta School District Re-2,126 East Garland,La Veta,81055,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0805190,Lake County School District No. R-1,328 West 5th Street,Leadville,80461,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0805220,Lamar School District No. Re-2,210 W Pearl,Lamar,81052,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0805250,Las Animas School District No. Re-1,1021 2nd Street,Las Animas,81054,No,Yes,1,3,0,0,0,0,0,0,0,0,1,4,0,0,2,7,0,0,1,1
CO,Colorado,0805280,Limon School District No. Re 4j,912 Badger Way,Limon,80828,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0805310,Littleton School District No. 6 In The County Of Arapahoe,5776 South Crocker Street,Littleton,80120,No,Yes,3,9,0,2,4,9,0,0,0,0,54,112,3,4,64,136,0,0,0,0
CO,Colorado,0805340,Lone Star School District No. 101,44940 County Road 54,Otis,80743,No,Yes,1,0,0,0,0,0,0,0,0,0,1,2,2,1,4,3,0,0,0,0
CO,Colorado,0805370,St. Vrain Valley School District No. Re1j,395 South Pratt Parkway,Longmont,80501,No,Yes,8,5,1,0,0,1,0,1,0,0,60,70,1,3,70,80,0,0,10,1
CO,Colorado,0805400,Thompson School District R-2j,800 South Taft Avenue,Loveland,80537,No,Yes,18,15,0,0,2,3,1,0,0,1,71,94,1,7,93,120,0,0,0,3
CO,Colorado,0805460,Mancos School District Re-6,355 West Grand Avenue,Mancos,81328,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0805490,Manitou Springs School District No. 14 In The County Of El,405 El Monte Place,Manitou Springs,80829,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0805520,Manzanola Joint District No. 3j Of The Counties Of Otero A,32475 County Road 11.5,Manzanola,80158,No,Yes,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,4,0,0,0,0
CO,Colorado,0805550,Mapleton School District No. 1 In The County Of Adams & St,7350 N. Broadway,Denver,80221,No,Yes,261,301,10,9,13,21,4,3,47,51,764,751,76,74,1175,1210,21,29,106,56
CO,Colorado,0805580,Mcclave School District No. Re-2,308 Lincoln Street,Mc Clave,81057,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0805610,Meeker School District Re1,555 Garfield,Meeker,81641,No,Yes,4,4,0,0,0,0,0,0,0,0,8,3,1,1,13,8,1,1,3,4
CO,Colorado,0805640,School District No. Re-4 Buffalo,315 Lee Street,Merino,80741,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0805670,Miami-Yoder Joint District No. 60 Of The Counties Of El Pas,420 S Rush Rd,Rush,80833,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0805700,Moffat School District No. 2 In The County Of Saguache And,501 Garfield Avenue,Moffat,81143,No,Yes,0,0,1,3,0,0,0,0,0,3,18,8,0,0,19,14,1,0,4,4
CO,Colorado,0805730,Moffat County School District Re: No. 1,600 Texas Avenue,Craig,81625,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
