SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED
2018-2019,8,COLORADO,CO,LIBERTY SCHOOL,Liberty J-4 School District,1,,CO-3230,800019,CO-3230-5123,80001901744,801744,P O BOX 112,,,JOES,CO,80822,112.0,9332 HIGHWAY 36,,,JOES,CO,80822,,(970)358-4288,http://www.libertyschoolj4.com,1,Open,1,Open,01/16/2019,Career and Technical School,3,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported
2018-2019,8,COLORADO,CO,ACADEMY OF CHARTER SCHOOLS,State Charter School Institute,1,,CO-8001,800020,CO-8001-0015,80002000727,800727,11800 LOWELL BLVD,,,WESTMINSTER,CO,80031,,11800 LOWELL BLVD,,,WESTMINSTER,CO,80031,5097.0,(303)289-8088,http://theacademyk12.org,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported
2018-2019,8,COLORADO,CO,CROWN POINTE CHARTER ACADEMY,State Charter School Institute,1,,CO-8001,800020,CO-8001-2035,80002001569,801569,2900 WEST 86TH AVENUE,,,WESTMINSTER,CO,80031,,2900 WEST 86TH AVENUE,,,WESTMINSTER,CO,80031,3849.0,(303)428-1882,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2018-2019,8,COLORADO,CO,FRONTIER CHARTER ACADEMY,State Charter School Institute,1,,CO-8001,800020,CO-8001-0035,80002001720,801720,P O BOX 418,,,CALHAN,CO,80808,,418 YODER STREET,,,CALHAN,CO,80808,8688.0,(719)347-3156,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2018-2019,8,COLORADO,CO,INDIAN PEAKS CHARTER SCHOOL,State Charter School Institute,1,,CO-8001,800020,CO-8001-4277,80002001780,801780,P O BOX 1819,,,GRANBY,CO,80446,1819.0,197 W. DIAMOND,,,GRANBY,CO,80446,,(970)887-3805,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2018-2019,8,COLORADO,CO,COMMUNITY LEADERSHIP ACADEMY,State Charter School Institute,1,,CO-8001,800020,CO-8001-1882,80002001876,801876,6880 HOLLY STREET,,,COMMERCE CITY,CO,80022,,6880 HOLLY STREET,,,COMMERCE CITY,CO,80022,2536.0,(303)288-2711,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2018-2019,8,COLORADO,CO,NEW AMERICA SCHOOL - LOWRY,State Charter School Institute,1,,CO-8001,800020,CO-8001-6219,80002001882,801882,9125 E SEVENTH PLACE BUILDING 905,,,DENVER,CO,80230,,9125 E SEVENTH PLACE BUILDING 905,,,DENVER,CO,80230,7111.0,(303)320-9854,http://www.newamericaschool.org,1,Open,1,Open,01/16/2019,Alternative School,4,No,No,Yes,8001,State Charter School Institute,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2018-2019,8,COLORADO,CO,COLORADO SPRINGS CHARTER ACADEMY,State Charter School Institute,1,,CO-8001,800020,CO-8001-1791,80002001912,801912,2577 N CHELTON ROAD,,,COLORADO SPRINGS,CO,80909,,2577 N CHELTON ROAD,,,COLORADO SPRINGS,CO,80909,1345.0,(719)636-2722,http://www.cscharter.org,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2018-2019,8,COLORADO,CO,ROSS MONTESSORI SCHOOL,State Charter School Institute,1,,CO-8001,800020,CO-8001-7512,80002001913,801913,109 LEWIES LANE,,,CARBONDALE,CO,81623,,109 LEWIES LANE,,,CARBONDALE,CO,81623,1643.0,(970)963-7199,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2018-2019,8,COLORADO,CO,THE PINNACLE CHARTER SCHOOL,State Charter School Institute,1,,CO-8001,800020,CO-8001-6914,80002001915,801915,1001 W 84TH AVE,,,FEDERAL HEIGHTS,CO,80260,,1001 W 84TH AVE,,,FEDERAL HEIGHTS,CO,80260,,(303)450-3985,http://www.pinnaclecsi.org,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported
2018-2019,8,COLORADO,CO,THE PINNACLE CHARTER SCHOOL ELEMENTARY,State Charter School Institute,1,,CO-8001,800020,CO-8001-0654,80002001926,801926,1001 W 84TH AVE,,,FEDERAL HEIGHTS,CO,80260,,1001 W 84TH AVE,,,FEDERAL HEIGHTS,CO,80260,,(303)450-3985,http://www.pinnaclecsi.org,2,Closed,2,Closed,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,M,M,Not Reported,As reported
2018-2019,8,COLORADO,CO,ACADEMY OF ARTS AND KNOWLEDGE ELEMENTARY,State Charter School Institute,1,,CO-8001,800020,CO-8001-0657,80002001998,801998,4800 WHEATON DR,,,FT COLLINS,CO,80525,,4800 WHEATON DR,,,FT COLLINS,CO,80525,3400.0,(970)226-2800,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2018-2019,8,COLORADO,CO,THE PINNACLE CHARTER SCHOOL MIDDLE,State Charter School Institute,1,,CO-8001,800020,CO-8001-6913,80002002010,802010,1001 W 84TH AVE,,,FEDERAL HEIGHTS,CO,80260,,1001 W 84TH AVE,,,FEDERAL HEIGHTS,CO,80260,,(303)450-3985,http://www.pinnaclecsi.org,2,Closed,2,Closed,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,M,M,Not Reported,As reported
2018-2019,8,COLORADO,CO,STONE CREEK SCHOOL,State Charter School Institute,1,,CO-8001,800020,CO-8001-0653,80002002018,802018,PO BOX 5670,,,AVON,CO,81620,,20 LINDBERGH DRIVE,,,GYPSUM,CO,81637,,(970)748-4535,http://www.stonecreekschool.org,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2018-2019,8,COLORADO,CO,HIGH POINT ACADEMY,State Charter School Institute,1,,CO-8001,800020,CO-8001-0655,80002002033,802033,6750 N. DUNKIRK ST.,,,AURORA,CO,80019,,6750 N. DUNKIRK ST.,,,AURORA,CO,80019,2107.0,(303)217-5152,http://www.highpointacademy.net/,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,PK,08,Elementary,As reported
2018-2019,8,COLORADO,CO,CAPROCK ACADEMY,State Charter School Institute,1,,CO-8001,800020,CO-8001-1279,80002006305,806305,714 1/2 ROAD,,,GRAND JUNCTION,CO,81505,,714 1/2 ROAD,,,GRAND JUNCTION,CO,81505,1245.0,(970)243-1771,http://www.caprockacademy.org,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported
2018-2019,8,COLORADO,CO,COLORADO SPRINGS EARLY COLLEGES,State Charter School Institute,1,,CO-8001,800020,CO-8001-1795,80002006310,806310,4405 NORTH CHESTNUT ST,,,COLORADO SPRINGS,CO,80907,,4405 NORTH CHESTNUT ST,,,COLORADO SPRINGS,CO,80907,3812.0,(719)955-4675,http://www.csec914.org,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2018-2019,8,COLORADO,CO,RICARDO FLORES MAGON ACADEMY,State Charter School Institute,1,,CO-8001,800020,CO-8001-7278,80002006320,806320,7255 IRVING STREET,,,WESTMINSTER,CO,80030,,5301 LOWELL BOULEVARD,,,DENVER,CO,80221,,(303)412-7601,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2018-2019,8,COLORADO,CO,PIKES PEAK PREP,State Charter School Institute,1,,CO-8001,800020,CO-8001-8929,80002006338,806338,525 EAST COSTILLA STREET,,,COLORADO SPRINGS,CO,80903,,525 EAST COSTILLA STREET,,,COLORADO SPRINGS,CO,80903,3764.0,(719)570-7575,,2,Closed,2,Closed,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,M,M,Not Reported,As reported
2018-2019,8,COLORADO,CO,EARLY COLLEGE OF ARVADA,State Charter School Institute,1,,CO-8001,800020,CO-8001-2837,80002006390,806390,4905 WEST 60TH AVENUE,,,ARVADA,CO,80003,,4905 WEST 60TH AVENUE,,,ARVADA,CO,80003,6916.0,(303)935-5473,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported
2018-2019,8,COLORADO,CO,ANIMAS HIGH SCHOOL,State Charter School Institute,1,,CO-8001,800020,CO-8001-0075,80002006418,806418,PO BOX 4414,,,DURANGO,CO,81302,,271 TWIN BUTTES AVE,,,DURANGO,CO,81301,,(970)247-2474,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2018-2019,8,COLORADO,CO,THOMAS MACLAREN STATE CHARTER SCHOOL,State Charter School Institute,1,,CO-8001,800020,CO-8001-8825,80002006437,806437,1702 N MURRAY BLVD,,,COLORADO SPRINGS,CO,80915,,1702 N MURRAY BLVD,,,COLORADO SPRINGS,CO,80915,,(719)313-4488,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported
2018-2019,8,COLORADO,CO,MOUNTAIN MIDDLE SCHOOL,State Charter School Institute,1,,CO-8001,800020,CO-8001-5453,80002006502,806502,108 WEST 31ST STREET,,,DURANGO,CO,81301,,108 WEST 31ST STREET,,,DURANGO,CO,81301,4231.0,(970)828-5600,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,04,08,Middle,As reported
2018-2019,8,COLORADO,CO,GLOBAL VILLAGE ACADEMY - NORTHGLENN,State Charter School Institute,1,,CO-8001,800020,CO-8001-3439,80002006503,806503,555 WEST 112TH AVENUE,,,NORTHGLENN,CO,80234,,555 WEST 112TH AVENUE,,,NORTHGLENN,CO,80234,3022.0,(303)446-7100,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2018-2019,8,COLORADO,CO,COLORADO EARLY COLLEGE FORT COLLINS,State Charter School Institute,1,,CO-8001,800020,CO-8001-2067,80002006542,806542,4424 INNOVATION DRIVE,,,FORT COLLINS,CO,80525,,4424 INNOVATION DRIVE,,,FORT COLLINS,CO,80525,,(970)377-0044,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported
2018-2019,8,COLORADO,CO,VICTORY PREPARATORY ACADEMY MIDDLE STATE CHARTER S,State Charter School Institute,1,,CO-8001,800020,CO-8001-9040,80002006579,806579,5701 QUEBEC STREET,,,COMMERCE CITY,CO,80022,,5701 QUEBEC STREET,,,COMMERCE CITY,CO,80022,,(303)288-6111,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported
2018-2019,8,COLORADO,CO,VICTORY PREPARATORY ACADEMY HIGH STATE CHARTER SCH,State Charter School Institute,1,,CO-8001,800020,CO-8001-9037,80002006585,806585,5701 QUEBEC STREET,,,COMMERCE CITY,CO,80022,,5701 QUEBEC STREET,,,COMMERCE CITY,CO,80022,,(303)288-6111,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2018-2019,8,COLORADO,CO,GLOBAL VILLAGE ACADEMY - COLORADO SPRINGS,State Charter School Institute,1,,CO-8001,800020,CO-8001-3326,80002006586,806586,303 AUSTIN BLUFFS PARKWAY,,,COLORADO SPRINGS,CO,80918,,303 AUSTIN BLUFFS PARKWAY,,,COLORADO SPRINGS,CO,80918,,(719)645-8063,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2018-2019,8,COLORADO,CO,MOUNTAIN SONG COMMUNITY SCHOOL,State Charter School Institute,1,,CO-8001,800020,CO-8001-5851,80002006589,806589,2904 WEST KIOWA STREET,,,COLORADO SPRINGS,CO,80904,,2904 WEST KIOWA STREET,,,COLORADO SPRINGS,CO,80904,,(719)645-8678,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2018-2019,8,COLORADO,CO,JAMES IRWIN CHARTER ACADEMY,State Charter School Institute,1,,CO-8001,800020,CO-8001-4403,80002006595,806595,5525 ASTROZON BLVD,,,COLORADO SPRINGS,CO,80909,,1801 HOWARD AVENUE,,,COLORADO SPRINGS,CO,80903,,(719)302-9000,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2018-2019,8,COLORADO,CO,GLOBAL VILLAGE ACADEMY - FORT COLLINS,State Charter School Institute,1,,CO-8001,800020,CO-8001-3399,80002006596,806596,2130 HORSETOOTH ROAD,,,FORT COLLINS,CO,80526,,2130 HORSETOOTH ROAD,,,FORT COLLINS,CO,80526,6436.0,(303)446-7100,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2018-2019,8,COLORADO,CO,MONTESSORI DEL MUNDO CHARTER SCHOOL,State Charter School Institute,1,,CO-8001,800020,CO-8001-5957,80002006602,806602,15503 EAST MISSISSIPPI AVE UNIT B,,,AURORA,CO,80017,,15503 EAST MISSISSIPPI AVE UNIT B,,,AURORA,CO,80017,3042.0,(720)432-2548,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,8,COLORADO,CO,COLORADO EARLY COLLEGES - PARKER,State Charter School Institute,1,,CO-8001,800020,CO-8001-2196,80002006634,806634,10235 PARKGLENN WAY,,,PARKER,CO,80138,,10235 PARKGLENN WAY,,,PARKER,CO,80138,3870.0,(720)260-0700,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2018-2019,8,COLORADO,CO,TWO RIVERS COMMUNITY SCHOOL,State Charter School Institute,1,,CO-8001,800020,CO-8001-8821,80002006635,806635,PO BOX 188,,,GLENWOOD SPRINGS,CO,81602,,195 CENTER DRIVE,,,GLENWOOD SPRINGS,CO,81601,2595.0,(970)309-3529,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2018-2019,8,COLORADO,CO,GOLDEN VIEW CLASSICAL ACADEMY,State Charter School Institute,1,,CO-8001,800020,CO-8001-3393,80002006639,806639,601 CORPORATE CIRCLE,,,GOLDEN,CO,80401,,601 CORPORATE CIRCLE,,,GOLDEN,CO,80401,5607.0,(720)598-6700,http://www.goldenviewclassical.org/,5,Changed Boundary/Agency,5,Changed Boundary/Agency,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported
2018-2019,8,COLORADO,CO,SALIDA MONTESSORI CHARTER SCHOOL,State Charter School Institute,1,,CO-8001,800020,CO-8001-8061,80002006651,806651,PO BOX 1080,,,SALIDA,CO,81201,,1040 I STREET,,,SALIDA,CO,81211,,(303)866-6600,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,Yes,8001,State Charter School Institute,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,PK,08,Elementary,As reported
