SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED
2018-2019,15,HAWAII,HI,Kainalu Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-311,150003000011,1500011,165 Kaiholu St,,,Kailua,HI,96734,,165 Kaiholu St,,,Kailua,HI,96734,,(808)266-7835,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Kalaheo High School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-312,150003000012,1500012,730 Iliaina St,,,Kailua,HI,96734,,730 Iliaina St,,,Kailua,HI,96734,,(808)254-7900,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,09,12,High,As reported
2018-2019,15,HAWAII,HI,Kaneohe Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-313,150003000013,1500013,45-495 Kamehameha Hwy,,,Kaneohe,HI,96744,,45-495 Kamehameha Hwy,,,Kaneohe,HI,96744,,(808)233-5633,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Kapunahala Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-315,150003000014,1500014,45-828 Anoi Rd,,,Kaneohe,HI,96744,,45-828 Anoi Rd,,,Kaneohe,HI,96744,,(808)233-5650,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Keolu Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-317,150003000015,1500015,1416 Keolu Dr,,,Kailua,HI,96734,,1416 Keolu Dr,,,Kailua,HI,96734,,(808)266-7818,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Governor Samuel Wilder King Intermediate School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-318,150003000016,1500016,46-155 Kamehameha Hwy,,,Kaneohe,HI,96744,,46-155 Kamehameha Hwy,,,Kaneohe,HI,96744,,(808)233-5727,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,07,08,Middle,As reported
2018-2019,15,HAWAII,HI,Laie Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-319,150003000017,1500017,55-109 Kulanui St,,,Laie,HI,96762,,55-109 Kulanui St,,,Laie,HI,96762,,(808)293-8965,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Ka'ohao Public Charter School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-320,150003000018,1500018,140 Alala Rd,,,Kailua,HI,96734,,140 Alala Rd,,,Kailua,HI,96734,,(808)266-7844,,1,Open,1,Open,12/17/2018,Regular School,1,No,No,Yes,S-734,State Public Charter School Commission,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Maunawili Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-321,150003000019,1500019,1465 Ulupii St,,,Kailua,HI,96734,,1465 Ulupii St,,,Kailua,HI,96734,,(808)266-7822,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Mokapu Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-322,150003000020,1500020,KMCAS Bldg,1193 Mokapu Rd,,Kailua,HI,96734,,KMCAS Bldg,1193 Mokapu Rd,,Kailua,HI,96734,,(808)254-7964,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Reverend Benjamin Parker Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-323,150003000021,1500021,45-259 Waikalua Rd,,,Kaneohe,HI,96744,,45-259 Waikalua Rd,,,Kaneohe,HI,96744,,(808)233-5686,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Blanche Pope Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-324,150003000022,1500022,41-133 Huli St,,,Waimanalo,HI,96795,,41-133 Huli St,,,Waimanalo,HI,96795,,(808)259-0450,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Puohala Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-314,150003000023,1500023,45-233 Kulauli St,,,Kaneohe,HI,96744,,45-233 Kulauli St,,,Kaneohe,HI,96744,,(808)233-5660,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,PK,07,Elementary,As reported
2018-2019,15,HAWAII,HI,Sunset Beach Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-325,150003000024,1500024,59-360 Kamehameha Hwy,,,Haleiwa,HI,96712,,59-360 Kamehameha Hwy,,,Haleiwa,HI,96712,,(808)638-8777,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Waiahole Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-326,150003000025,1500025,48-215 Waiahole Valley Rd,,,Kaneohe,HI,96744,,48-215 Waiahole Valley Rd,,,Kaneohe,HI,96744,,(808)239-3111,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Waimanalo Elementary & Intermediate School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-327,150003000026,1500026,41-1330 Kalanianaole Hwy,,,Waimanalo,HI,96795,,41-1330 Kalanianaole Hwy,,,Waimanalo,HI,96795,,(808)259-0460,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,PK,08,Elementary,As reported
2018-2019,15,HAWAII,HI,Ernest Bowen DeSilva Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-351,150003000027,1500027,278 Ainako Ave,,,Hilo,HI,96720,,278 Ainako Ave,,,Hilo,HI,96720,,(808)974-4855,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Haaheo Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-352,150003000028,1500028,121 Haaheo Rd,,,Hilo,HI,96720,,121 Haaheo Rd,,,Hilo,HI,96720,,(808)974-4111,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Hilo High School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-355,150003000029,1500029,556 Waianuenue Ave,,,Hilo,HI,96720,,556 Waianuenue Ave,,,Hilo,HI,96720,,(808)974-4021,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,09,12,High,As reported
2018-2019,15,HAWAII,HI,Hilo Intermediate School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-356,150003000030,1500030,587 Waianuenue Ave,,,Hilo,HI,96720,,587 Waianuenue Ave,,,Hilo,HI,96720,,(808)974-4955,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,07,08,Middle,As reported
2018-2019,15,HAWAII,HI,Hilo Union Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-357,150003000031,1500031,506 Waianuenue Ave,,,Hilo,HI,96720,,506 Waianuenue Ave,,,Hilo,HI,96720,,(808)933-0900,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Holualoa Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-358,150003000032,1500032,76-5957 Mamalahoa Hwy,,,Holualoa,HI,96725,,76-5957 Mamalahoa Hwy,,,Holualoa,HI,96725,,(808)322-4800,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2018-2019,15,HAWAII,HI,Honaunau Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-359,150003000033,1500033,83-5360 Mamalahoa Hwy,,,Captain Cook,HI,96704,,83-5360 Mamalahoa Hwy,,,Captain Cook,HI,96704,,(808)328-2727,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2018-2019,15,HAWAII,HI,Honokaa High & Intermediate School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-360,150003000034,1500034,45-527 Pakalana St,,,Honokaa,HI,96727,,45-527 Pakalana St,,,Honokaa,HI,96727,,(808)775-8800,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,07,12,High,As reported
2018-2019,15,HAWAII,HI,Hookena Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-363,150003000035,1500035,86-4355 Mamalahoa Hwy,,,Captain Cook,HI,96704,,86-4355 Mamalahoa Hwy,,,Captain Cook,HI,96704,,(808)328-2710,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2018-2019,15,HAWAII,HI,Prince Jonah Kalanianaole Elementary & Intermediate School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-365,150003000036,1500036,27-330 Old Mamalahoa Hwy,,,Papaikou,HI,96781,28.0,27-330 Old Mamalahoa Hwy,,,Papaikou,HI,96781,28.0,(808)964-9700,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,PK,08,Elementary,As reported
2018-2019,15,HAWAII,HI,Chiefess Kapiolani Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-367,150003000037,1500037,966 Kilauea Ave,,,Hilo,HI,96720,,966 Kilauea Ave,,,Hilo,HI,96720,,(808)974-4160,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Kau High & Pahala Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-368,150003000038,1500038,PO Box 100,,,Pahala,HI,96777,,96-3150 Pikake St,,,Pahala,HI,96777,,(808)928-2088,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,PK,12,Other,As reported
2018-2019,15,HAWAII,HI,Kaumana Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-369,150003000039,1500039,1710 Kaumana Dr,,,Hilo,HI,96720,,1710 Kaumana Dr,,,Hilo,HI,96720,,(808)974-4190,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Keaau Middle School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-370,150003000040,1500040,15-565 Keaau-Pahoa Rd,,,Keaau,HI,96749,,15-565 Keaau-Pahoa Rd,,,Keaau,HI,96749,,(808)982-4200,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported
2018-2019,15,HAWAII,HI,Kealakehe Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-388,150003000041,1500041,74-5118 Kealakaa St,,,Kailua-Kona,HI,96740,,74-5118 Kealakaa St,,,Kailua-Kona,HI,96740,,(808)327-4308,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2018-2019,15,HAWAII,HI,Keaukaha Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-372,150003000042,1500042,240 Desha Ave,,,Hilo,HI,96720,,240 Desha Ave,,,Hilo,HI,96720,,(808)974-4181,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Kohala High School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-373,150003000043,1500043,PO Box 279,,,Kapaau,HI,96755,,54-3611 Akoni Pule Hwy,,,Kapaau,HI,96755,,(808)889-7117,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,09,12,High,As reported
2018-2019,15,HAWAII,HI,Konawaena Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-375,150003000044,1500044,81-901 Onouli Rd,,,Kealakekua,HI,96750,,81-901 Onouli Rd,,,Kealakekua,HI,96750,,(808)323-4555,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2018-2019,15,HAWAII,HI,Konawaena High School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-374,150003000045,1500045,81-1043 Konawaena School Rd,,,Kealakekua,HI,96750,,81-1043 Konawaena School Rd,,,Kealakekua,HI,96750,,(808)323-4500,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,09,12,High,As reported
2018-2019,15,HAWAII,HI,Laupahoehoe Community - PCS,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-377,150003000046,1500046,PO Box 189,,,Laupahoehoe,HI,96764,,35-2065 Old Mamalahoa Hwy,,,Laupahoehoe,HI,96764,,(808)962-2200,,1,Open,1,Open,12/17/2018,Regular School,1,No,No,Yes,S-734,State Public Charter School Commission,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,PK,12,Other,As reported
2018-2019,15,HAWAII,HI,Mountain View Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-379,150003000047,1500047,PO Box 9,,,Mountain View,HI,96771,,18-1235 Volcano Hwy,,,Mountain View,HI,96771,,(808)968-2300,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2018-2019,15,HAWAII,HI,Naalehu Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-380,150003000048,1500048,PO Box 170,,,Naalehu,HI,96772,170.0,95-5545 Mamalahoa Hwy,,,Naalehu,HI,96772,,(808)939-2413,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Paauilo Elementary & Intermediate School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-382,150003000049,1500049,PO Box 329,,,Paauilo,HI,96776,,43-1497 Hauola Rd,,,Paauilo,HI,96776,,(808)776-7710,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,PK,09,Other,As reported
2018-2019,15,HAWAII,HI,Pahoa High & Intermediate School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-383,150003000050,1500050,15-3038 Puna Rd,,,Pahoa,HI,96778,,15-3038 Puna Rd,,,Pahoa,HI,96778,,(808)965-2150,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,07,12,High,As reported
2018-2019,15,HAWAII,HI,Waiakea Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-384,150003000051,1500051,180 W Puainako St,,,Hilo,HI,96720,,180 W Puainako St,,,Hilo,HI,96720,,(808)981-7215,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2018-2019,15,HAWAII,HI,Waiakea High School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-389,150003000052,1500052,155 W Kawili St,,,Hilo,HI,96720,,155 W Kawili St,,,Hilo,HI,96720,,(808)974-4888,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,09,12,High,As reported
2018-2019,15,HAWAII,HI,Waiakea Intermediate School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-385,150003000053,1500053,200 W Puainako St,,,Hilo,HI,96720,,200 W Puainako St,,,Hilo,HI,96720,,(808)981-7231,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported
2018-2019,15,HAWAII,HI,Waiakeawaena Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-386,150003000054,1500054,2420 Kilauea Ave,,,Hilo,HI,96720,,2420 Kilauea Ave,,,Hilo,HI,96720,,(808)981-7200,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2018-2019,15,HAWAII,HI,Waimea Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-5-387,150003000055,1500055,67-1225 Mamalahoa Hwy,,,Kamuela,HI,96743,,67-1225 Mamalahoa Hwy,,,Kamuela,HI,96743,,(808)887-7636,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
